ABATACEPT	3400926884376
HYDROCHLOROTHIAZIDE	3400937238809;3400937155960;3400921770278;3400937156103;3400939028033;3400921769678;3400938743081;3400937239059;3400939028262;3400938743203;3400939225791;3400939224213;3400921968521;3400921968170;3400939225272;3400939224503;3400939226163;3400936054363;3400936093973;3400938697674;3400938696615;3400939226453;3400936365148;3400922344690;3400936153059;3400939228754;3400939228006;3400936366268;3400934574962;3400936098138;3400939224961;3400938697384;3400939223612;3400938696844;3400939892993;3400939893365;3400936363717;3400936053472;3400922347363;3400938696325;3400922345932;3400934590061;3400934574382;3400934589522;3400934573842;3400939223902;3400939227344;3400939892306;3400936038974;3400936274617;3400936364196;3400922344751;3400922347134;3400938816563;3400939226743;3400936097766;3400936168428;3400922345871;3400939228464;3400939222950;3400938223699;3400936309319;3400938221688;3400939892016;3400938697155;3400936208261;3400936363366;3400938873054;3400939227634;3400938872514;3400936364547;3400939227054;3400936078727;3400939223322;3400938871913;3400934590290;3400934590580;3400938224641;3400939891125;3400938816334;3400938816624;3400936279988;3400936280359;3400936075474;3400936173910;3400939891415;3400934590702;3400936174450;3400936365728;3400934589751;3400941601439;3400937141192;3400941599675;3400937141772;3400941579974;3400941600258;3400922355177;3400922351445;3400927414046;3400937201728;3400926990626;3400941580406;3400949208494;3400937140942;3400935393203;3400937202787;3400941602269;3400949209095;3400937201957;3400922356877;3400922090818;3400921728408;3400922356358;3400941602788;3400921729177;3400927402210;3400941586378;3400922091129;3400922352046;3400926991975;3400922104928;3400921729696;3400927410772;3400941691447;3400926990916;3400937142083;3400941585777;3400922090467;3400922339788;3400922105529;3400922090009;3400921728118;3400922340210;3400921725094;3400927410253;3400927413445;3400922355757;3400949206254;3400941600838;3400926991746;3400949206773;3400941691966;3400927401497;3400941590450;3400941689727;3400922104638;3400927402159;3400941589850;3400921724325;3400927401619;3400921724783;3400921723953;3400922105239;3400935556844;3400930373576;3400937196604;3400937196543;3400930373576;3400937196604;3400937196543;3400926831097;3400926831738;3400941971983;3400921818048;3400921783056;3400941971006;3400921783926;3400922168562;3400941971464;3400921783575;3400926832797;3400921782165;3400926832278;3400941972294;3400922434223;3400922434803;3400926830618;3400922050195;3400922433790;3400922436524;3400941967382;3400921818796;3400922167381;3400922460994;3400922169453;3400921782745;3400938015454;3400938015225;3400922191805;3400921784695;3400922461076;3400922460765;3400922436814;3400934696831;3400922169163;3400949667390;3400922056050;3400922433332;3400922191454;3400921783285;3400922168852;3400921782455;3400922168043;3400949666911;3400922056630;3400921785586;3400938015393;3400938015744;3400926842383;3400926842734;3400921784985;3400921784237;3400926843106;3400941967733;3400926842093;3400922055398;3400949657407;3400922191393;3400922191515;3400926831387;3400921785296;3400922487441;3400926843625;3400938015683;3400934698613;3400922054629;3400949657117;3400934697371;3400922050775;3400922191683;3400938015515;3400922191744;3400922487670;3400934699092;3400936682184;3400937227803;3400936681873;3400936681934;3400921722192;3400938762761;3400936681705;3400936681644;3400937682855;3400933173296;3400937351850;3400937351621;3400937682794;3400938756739;3400938731255;3400937452328;3400936682016;3400937384629;3400937294409;3400937294287;3400937050722;3400936890251;3400921722253;3400937153720;3400938307948;3400937153959;3400937807487;3400922420844;3400938543469;3400939525112;3400938545302;3400937748483;3400938542059;3400941513510;3400938997163;3400921977516;3400949344901;3400938545999;3400949343379;3400938997224;3400941513749;3400938920222;3400938632859;3400938923933;3400938965636;3400949309542;3400926888169;3400949009183;3400938546712;3400921938074;3400939435701;3400921644098;3400938992489;3400949345380;3400938996852;3400939525921;3400939937281;3400938545180;3400939436180;3400941513800;3400939559469;3400921976045;3400935186256;3400941513688;3400921643497;3400938992601;3400939894256;3400939895437;3400938633801;3400938546590;3400939935799;3400937140881;3400937144674;3400939764924;3400938544879;3400921938715;3400921938364;3400938906264;3400921938593;3400949019120;3400949342839;3400938997514;3400949016976;3400949895229;3400939647678;3400938259650;3400938981254;3400938634112;3400939650111;3400938919622;3400938632620;3400921943856;3400941961700;3400938361247;3400933852078;3400926887797;3400939937342;3400939853505;3400938255409;3400939273648;3400939648620;3400938259131;3400921975673;3400937748834;3400939852782;3400921981247;3400949002320;3400938362947;3400939274829;3400939522500;3400941962011;3400938255058;3400939853154;3400939764863;3400939521787;3400949139965;3400939932439;3400949140336;3400939273129;3400939649221;3400939560588;3400921944167;3400939559520;3400938924244;3400921977806;3400921980936;3400921810813;3400939559230;3400939560649;3400949894857;3400939274249;3400939559698;3400939649689;3400922446400;3400922160009;3400926947163;3400922159577;3400926949006;3400922159287;3400926951184;3400936962903;3400926952365;3400926950583;3400927473937;3400927383137;3400927382765;3400937776868;3400927382826;3400937776639;3400927471346;3400935955197;3400937776578;3400927559785;3400927510939;3400927468674;3400927469107;3400927383076;3400927540165;3400927372889;3400927511301;3400927375491;3400935954138;3400927377044;3400937776929;3400927466205;3400927477379;3400927559495;3400937166737;3400927373251;3400927521126;3400937777520;3400927523717;3400927559617;3400927559556;3400937166966;3400927341892;3400927559846;3400927477140;3400927559907;3400937777469;3400927471865;3400927377563;3400927521584;3400938527032;3400927329029;3400927460579;3400927374951;3400927524196;3400927536953;3400935954367;3400927474309;3400927461002;3400927465772;3400927333279;3400927336003;3400938527322;3400938655162;3400927335570;3400927537493;3400927334399;3400927382307;3400927344046;3400927463532;3400927329487;3400927344565;3400927534713;3400927463181;3400935955029;3400938655223;3400927534362;3400927346866;3400927341373;3400927539626;3400927347238;3400939603384;3400938427516;3400937151658;3400926605803;3400949820528;3400926602901;3400939602905;3400921832815;3400938426625;3400941848537;3400941847417;3400941806193;3400937904162;3400921617535;3400941847646;3400921621266;3400937151948;3400939602325;3400937905282;3400927575693;3400939922843;3400949157365;3400921833065;3400938155822;3400938460803;3400938156362;3400938157772;3400939906645;3400938156652;3400921833584;3400941848247;3400921832464;3400941805653;3400941806483;3400939736600;3400941847875;3400939922492;3400939738550;3400922141886;3400935923202;3400939907475;3400939908656;3400937151887;3400938489897;3400949819638;3400934541445;3400921832174;3400941847295;3400938157024;3400941558634;3400922141428;3400941790881;3400941562945;3400921619195;3400937903790;3400937904803;3400938457902;3400934684883;3400921833355;3400938500295;3400935923721;3400949152162;3400941791253;3400939921082;3400939906294;3400941561993;3400939600543;3400926604103;3400949162567;3400941560583;3400941791604;3400949158027;3400938157314;3400939907994;3400937903271;3400922140247;3400949820818;3400949163458;3400941789533;3400937904513;3400941790133;3400941625671;3400939738031;3400941559174;3400939601892;3400941563317;3400941561474;3400949821297;3400927575174;3400949152803;3400934682872;3400941805073;3400939919072;3400949820986;3400939921433;3400921619546;3400934683183;3400949819348;3400939737140;3400937149358;3400939601083;3400921618075;3400934684074;3400934683763;3400926604622;3400934684593;3400939918532;3400941560125;3400921620726;3400926719166;3400922139876;3400926603380;3400926605452;3400941625381;3400939917351;3400939917702
HYDROCORTISONE	3400930514757;3400930514177;3400932606122;3400932141159;3400930514757;3400930514177;3400932606122;3400932141159;3400933069001;3400934237355;3400932189465;3400932190294;3400932189694;3400932785179;3400933684914;3400930092439
HYDROMORPHONE	3400934890888;3400934890659;3400934890130;3400934890420
HYDROXYCARBAMIDE	3400938101942;3400941580574;3400930512685
HYDROXYPROGESTERONE	3400930866054;3400930865972
HYDROXYZINE	3400930006467;3400930081143;3400930006344;3400930081372;3400930006238;3400927899195;3400927896873;3400930081433;3400930081204;3400927894633;3400927895814;3400927898075
IBUPROFENE	3400939755588;3400939755878;3400937918411;3400936583030;3400949929610;3400936060685;3400935759948;3400936655799;3400949923236;3400933486952;3400935528988;3400933686345;3400938661835;3400935193759;3400949926367;3400936656161;3400932959419;3400933301750;3400949253739;3400935562708;3400934168475;3400932885626;3400937499224;3400936060456;3400932959358;3400939218120;3400933231521;3400936081918;3400937663984;3400938478372;3400949253678;3400935845917;3400937656313;3400936656222;3400949928439;3400933986124;3400949923175;3400937499163;3400949926138;3400935823274;3400938980592;3400935506528;3400938279412;3400949929559;3400939350332;3400936192959;3400936028111;3400934841682;3400935715135;3400933665814;3400937693332;3400933681951;3400936094406;3400936438040;3400936595736;3400949928378;3400935199904;3400934750922;3400935930415;3400936251373;3400933640620;3400936225701;3400936475939;3400941704208;3400937918411;3400936583030;3400949929610;3400936060685;3400935759948;3400936655799;3400949923236;3400933486952;3400935528988;3400933686345;3400938661835;3400935193759;3400949926367;3400936656161;3400932959419;3400933301750;3400949253739;3400935562708;3400934168475;3400932885626;3400937499224;3400936060456;3400932959358;3400939218120;3400933231521;3400936081918;3400937663984;3400938478372;3400949253678;3400935845917;3400937656313;3400936656222;3400949928439;3400933986124;3400949923175;3400937499163;3400949926138;3400935823274;3400938980592;3400935506528;3400938279412;3400949929559;3400939350332;3400936192959;3400936028111;3400934841682;3400935715135;3400933665814;3400937693332;3400933681951;3400936094406;3400936438040;3400936595736;3400949928378;3400935199904;3400934750922;3400935930415;3400936251373;3400933640620;3400936225701;3400936475939;3400941704208
IMATINIB	3400936224988;3400936224759
IMIDAPRIL	3400935084729;3400935083838
IMIPRAMINE	3400931067795;3400931067627
INDAPAMIDE	3400927598357;3400927598586;3400927597527;3400927597756;3400933832377;3400938615470;3400934977220;3400938839166;3400938548143;3400938598520;3400939346779;3400935781659;3400938698565;3400934713842;3400935781420;3400938986457;3400938598179;3400938994780;3400939347141;3400937746243;3400935781888;3400939925516;3400938427165;3400938839456;3400933976996;3400931443728;3400939925226;3400938991369;3400933827465;3400938547771;3400937745871;3400938990997;3400938698855;3400938986686;3400938426915;3400939924106;3400932980468;3400939924564;3400933832377;3400938615470;3400934977220;3400938839166;3400938548143;3400938598520;3400939346779;3400935781659;3400938698565;3400934713842;3400935781420;3400938986457;3400938598179;3400938994780;3400939347141;3400937746243;3400935781888;3400939925516;3400938427165;3400938839456;3400933976996;3400931443728;3400939925226;3400938991369;3400933827465;3400938547771;3400937745871;3400938990997;3400938698855;3400938986686;3400938426915;3400939924106;3400932980468;3400939924564;3400938793819;3400934508967;3400939292397;3400939294001;3400949355785;3400939295701;3400939197555;3400938794649;3400939295350;3400926905170;3400949355266;3400949352883;3400934508677;3400949356157;3400938794298;3400939293578;3400939289908;3400926904340;3400939297071;3400939297590;3400939291857;3400934507038;3400949353194;3400939194882;3400949354726;3400949100644;3400938793468;3400939288147;3400939197036;3400926904630;3400934507328;3400939315492;3400949101016;3400937823456;3400934509100;3400939197906;3400935628916;3400949102884;3400934509339;3400939290447;3400926809737;3400949730827;3400926808907;3400939315843;3400937823227;3400949731947;3400935628855;3400949351183;3400939196664;3400937824286;3400949102426;3400937824057;3400926904869;3400949731718;3400949731077;3400926809157;3400926810047;3400949350872
INDINAVIR	3400934209901;3400934210099;3400934210150
INDOMETACINE	3400930525753;3400932310135;3400930525814;3400930525692;3400934195389;3400934646683
INDORAMINE	3400932926060;3400939637914
INSULINE	3400935676641;3400935527400;3400935259219;3400937024297;3400935259097;3400935495259;3400937165327;3400936511811;3400936512061;3400936511989;3400937722988;3400935651976;3400936514942;3400935463203;3400935946492;3400937722001;3400936569423;3400936518094;3400936922402;3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792;3400938511062;3400934947414;3400934373930;3400938510980;3400930000854;3400934944512;3400934142680;3400934947353;3400934944680;3400934430572;3400938511123
INSULINE GLARGINE	3400937722988;3400935651976;3400936514942;3400935463203;3400935946492;3400937722988;3400935651976;3400936514942;3400935463203;3400935946492
INSULINE HUMAINE BIOSYNTHETIQUE	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE BIOSYNTHETIQUE ZINC	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE HEMISYNTHETIQUE D'ORIGINE PORCINE	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE HEMISYNTHETIQUE ISOPHANE BIPHASIQU	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE HEMISYNTHETIQUE ISOPHANE BIPHASIQUE	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE RECOMBINANTE	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE RECOMBINANTE ISOPHANE BIPHASIQUE	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE RECOMBINANTE ZINC	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE HUMAINE RECOMBINANTE ZINC CRISTALLINE	3400936120112;3400934038563;3400936119970;3400935480460;3400936120280;3400936118331;3400935482013;3400936120921;3400935480811;3400936120341;3400934039454;3400936118270;3400934878824;3400935481290;3400933523664;3400933523435;3400934878244;3400933523084;3400934935527;3400935481641;3400934038792
INSULINE LISPRO	3400938511062;3400934947414;3400934373930;3400938510980;3400930000854;3400934944512;3400934142680;3400934947353;3400934944680;3400934430572;3400938511123;3400938511062;3400934947414;3400934373930;3400938510980;3400930000854;3400934944512;3400934142680;3400934947353;3400934944680;3400934430572;3400938511123
IOBITRIDOL	3400933771362;3400933771072;3400936915428;3400927372421;3400933771133;3400936914766;3400936915657;3400933770532;3400933771423;3400933771881;3400933776794;3400933777166;3400936914476;3400933776855;3400933776275;3400933770990;3400927371769;3400933771591;3400933777227
IODIXANOL	3400926677831;3400935202376;3400935201256;3400935203908;3400935201836;3400935202147;3400935203557;3400926678081;3400933846855;3400926678142;3400935201485;3400926677312;3400926677480;3400926677602;3400935202895;3400935200884;3400933846336;3400926677770;3400935203328;3400926677541
IOHEXOL	3400932681921;3400933349776;3400932681570;3400926676889;3400926675998;3400926676599;3400935318091;3400935318381;3400926676711;3400926675769;3400933349837;3400934600739;3400935318671;3400935318152;3400935318503;3400935318961;3400934600678;3400926675820;3400926676650;3400932681051;3400935313768;3400934600500;3400934601101;3400926675530
IOMEPROL	3400926993986;3400935511201;3400933793944;3400926994068;3400933792473;3400933794545;3400933793715;3400933794316;3400933795207;3400933991036;3400933795375;3400933791643;3400933795146;3400933792992;3400933794606;3400933793593;3400933791124;3400936161962;3400933991326;3400936161733;3400933795665;3400933791933;3400927706820;3400927707131;3400935469526;3400936198173;3400936198005;3400935511140;3400926994877;3400935469465;3400933792763;3400927707360;3400935469694;3400926994938;3400935469236;3400926994129;3400933794774;3400933991265;3400927706998;3400926994709;3400926994297;3400933795436;3400926995010
IOPAMIDOL	3400933352967;3400932459377;3400949313563;3400933983512;3400932459728;3400932458837;3400932555222;3400933983680;3400932459148;3400933353049;3400932459438;3400949313044;3400932459209;3400932459087;3400932459667;3400949313624;3400932458776
IOPROMIDE	3400927799389;3400937603782;3400933090579;3400927637131;3400933090289;3400939862897;3400927636240;3400939863320;3400933091170;3400939863269;3400937603843;3400933090630;3400933090340;3400927799211;3400933090401;3400927797200;3400933091002;3400933090869;3400927797149
IOVERSOL	3400934083808;3400933276935;3400934086878;3400933277017;3400934083686;3400934079146;3400933276874;3400934086649;3400934083228;3400934078835;3400934086298;3400933276645;3400933276294
IPRONIAZIDE	3400936882508
IRBESARTAN	3400934118739;3400938602814;3400939278551;3400937594127;3400921866643;3400922163949;3400949107797;3400941804182;3400939277950;3400949625987;3400939904344;3400937644075;3400949626298;3400941803581;3400926775636;3400949624638;3400937636902;3400949109111;3400949107339;3400939588674;3400922162997;3400921868654;3400949625529;3400938632040;3400939904634;3400939914169;3400949625178;3400921867992;3400939277431;3400921867244;3400921865462;3400922165660;3400934288333;3400949108800;3400922164489;3400949108169;3400941803062;3400922165141;3400939590806;3400934400247;3400939279442;3400939278902;3400921866063;3400941801860;3400922161648;3400934287732;3400922161358;3400938014563;3400938617603;3400938014853;3400939279961;3400922164199;3400939590516;3400941804762;3400938681185;3400922161419;3400938679007;3400939589046;3400937545099;3400949624348;3400922161938;3400938621914;3400938014792;3400922163079;3400937680615;3400922166261;3400939507361;3400939914459;3400927384318;3400937610186;3400949108459;3400927440649;3400922167961;3400922167152;3400937701709;3400926775575;3400922161297;3400939510491;3400922162300;3400939503868;3400939507941;3400939589626;3400939909608;3400922161709;3400934091841;3400939504520;3400922161587;3400939914749;3400934329296;3400939511092;3400937543729;3400938014624;3400938014914;3400939589916;3400938015164;3400937544610;3400934118739;3400938602814;3400939278551;3400937594127;3400921866643;3400922163949;3400949107797;3400941804182;3400939277950;3400949625987;3400939904344;3400937644075;3400949626298;3400941803581;3400926775636;3400949624638;3400937636902;3400949109111;3400949107339;3400939588674;3400922162997;3400921868654;3400949625529;3400938632040;3400939904634;3400939914169;3400949625178;3400921867992;3400939277431;3400921867244;3400921865462;3400922165660;3400934288333;3400949108800;3400922164489;3400949108169;3400941803062;3400922165141;3400939590806;3400934400247;3400939279442;3400939278902;3400921866063;3400941801860;3400922161648;3400934287732;3400922161358;3400938014563;3400938617603;3400938014853;3400939279961;3400922164199;3400939590516;3400941804762;3400938681185;3400922161419;3400938679007;3400939589046;3400937545099;3400949624348;3400922161938;3400938621914;3400938014792;3400922163079;3400937680615;3400922166261;3400939507361;3400939914459;3400927384318;3400937610186;3400949108459;3400927440649;3400922167961;3400922167152;3400937701709;3400926775575;3400922161297;3400939510491;3400922162300;3400939503868;3400939507941;3400939589626;3400939909608;3400922161709;3400934091841;3400939504520;3400922161587;3400939914749;3400934329296;3400939511092;3400937543729;3400938014624;3400938014914;3400939589916;3400938015164;3400937544610;3400926831097;3400926831738;3400941971983;3400921818048;3400921783056;3400941971006;3400921783926;3400922168562;3400941971464;3400921783575;3400926832797;3400921782165;3400926832278;3400941972294;3400922434223;3400922434803;3400926830618;3400922050195;3400922433790;3400922436524;3400941967382;3400921818796;3400922167381;3400922460994;3400922169453;3400921782745;3400938015454;3400938015225;3400922191805;3400921784695;3400922461076;3400922460765;3400922436814;3400934696831;3400922169163;3400949667390;3400922056050;3400922433332;3400922191454;3400921783285;3400922168852;3400921782455;3400922168043;3400949666911;3400922056630;3400921785586;3400938015393;3400938015744;3400926842383;3400926842734;3400921784985;3400921784237;3400926843106;3400941967733;3400926842093;3400922055398;3400949657407;3400922191393;3400922191515;3400926831387;3400921785296;3400922487441;3400926843625;3400938015683;3400934698613;3400922054629;3400949657117;3400934697371;3400922050775;3400922191683;3400938015515;3400922191744;3400922487670;3400934699092
